Time	CellId	RNTI	BWPId	SINR(dB)
0.0206071	1	4	0	18.8316
0.0206786	1	3	0	7.43809
0.02075	1	2	0	32.145
0.0208214	1	1	0	29.864
0.0216071	1	4	0	14.0164
0.0216786	1	3	0	7.43498
0.02175	1	2	0	32.5786
0.0218214	1	1	0	29.8725
0.0226071	1	4	0	15.1073
0.0226786	1	3	0	7.66021
0.02275	1	2	0	32.731
0.0228214	1	1	0	29.9703
0.0235714	1	4	0	15.1609
0.0236071	1	3	0	7.55046
0.0236429	1	2	0	33.0852
0.0236786	1	1	0	29.9662
0.0245714	1	4	0	14.2745
0.0246071	1	3	0	7.81393
0.0246429	1	2	0	33.5326
0.0246786	1	1	0	29.9983
0.0255714	1	4	0	14.2861
0.0256071	1	3	0	7.80612
0.0256429	1	2	0	33.5807
0.0256786	1	1	0	29.9935
0.0264643	1	4	0	12.7079
0.0265714	1	4	0	16.4553
0.0266071	1	3	0	7.56391
0.0266429	1	2	0	33.0788
0.0266786	1	1	0	30.0299
0.0275714	1	4	0	13.9682
0.0276071	1	3	0	7.38548
0.0276429	1	2	0	32.7706
0.0276786	1	1	0	30.0366
0.0284643	1	4	0	3.77774
0.0285714	1	4	0	14.4734
0.0286071	1	3	0	7.15195
0.0286429	1	2	0	32.5478
0.0286786	1	1	0	30.0964
0.0295714	1	4	0	12.7474
0.0296071	1	3	0	7.26318
0.0296429	1	2	0	32.2329
0.0296786	1	1	0	30.0875
0.0304643	1	4	0	16.6048
0.0305714	1	4	0	16.3478
0.0306071	1	3	0	7.36767
0.0306429	1	2	0	32.3694
0.0306786	1	1	0	30.0798
0.0315714	1	4	0	12.9808
0.0316071	1	3	0	7.54823
0.0316429	1	2	0	33.0793
0.0316786	1	1	0	30.0997
0.0324643	1	4	0	13.8971
0.0325714	1	4	0	14.187
0.0326071	1	3	0	7.66507
0.0326429	1	2	0	33.5957
0.0326786	1	1	0	30.0689
0.0335714	1	4	0	10.4458
0.0336071	1	3	0	7.64137
0.0336429	1	2	0	34.0583
0.0336786	1	1	0	30.1261
0.0344643	1	4	0	3.61267
0.0345714	1	4	0	16.5891
0.0346071	1	3	0	7.65001
0.0346429	1	2	0	34.4888
0.0346786	1	1	0	30.1616
0.0354643	1	4	0	13.0761
0.0355714	1	4	0	13.6765
0.0356071	1	3	0	7.59663
0.0356429	1	2	0	34.5232
0.0356786	1	1	0	30.225
0.0364643	1	4	0	7.95957
0.0365714	1	4	0	17.4277
0.0366071	1	3	0	7.53397
0.0366429	1	2	0	34.3459
0.0366786	1	1	0	30.2101
0.0375714	1	4	0	12.1119
0.0376071	1	3	0	7.58154
0.0376429	1	2	0	33.9301
0.0376786	1	1	0	30.1238
0.0385714	1	4	0	15.4838
0.0386071	1	3	0	7.62413
0.0386429	1	2	0	33.8433
0.0386786	1	1	0	30.1317
0.0395714	1	4	0	14.0016
0.0396071	1	3	0	7.77498
0.0396429	1	2	0	33.3412
0.0396786	1	1	0	30.1223
0.0404643	1	4	0	5.42666
0.0405714	1	4	0	17.1518
0.0406071	1	3	0	7.83311
0.0406429	1	2	0	32.7534
0.0406786	1	1	0	30.1291
0.0415714	1	4	0	15.5313
0.0416071	1	3	0	7.74216
0.0416429	1	2	0	32.9126
0.0416786	1	1	0	30.1506
0.0424643	1	4	0	10.0794
0.0425714	1	4	0	14.5148
0.0426071	1	3	0	7.76297
0.0426429	1	2	0	33.4051
0.0426786	1	1	0	30.1369
0.0435714	1	4	0	15.1154
0.0436071	1	3	0	7.79289
0.0436429	1	2	0	33.7249
0.0436786	1	1	0	30.1632
0.0445714	1	4	0	18.2399
0.0446071	1	3	0	7.66793
0.0446429	1	2	0	33.7729
0.0446786	1	1	0	30.1779
0.0455714	1	4	0	16.2779
0.0456071	1	3	0	7.78609
0.0456429	1	2	0	33.6166
0.0456786	1	1	0	30.1267
0.0464643	1	4	0	16.7048
0.0465714	1	4	0	17.015
0.0466071	1	3	0	7.98544
0.0466429	1	2	0	33.5468
0.0466786	1	1	0	30.105
0.0475714	1	4	0	17.9101
0.0476071	1	3	0	8.04022
0.0476429	1	2	0	32.9622
0.0476786	1	1	0	30.0527
0.0485714	1	4	0	14.4926
0.0486071	1	3	0	8.13774
0.0486429	1	2	0	32.3518
0.0486786	1	1	0	30.0381
0.0495714	1	4	0	14.7801
0.0496071	1	3	0	8.25647
0.0496429	1	2	0	32.0844
0.0496786	1	1	0	29.9859
0.0505714	1	4	0	17.447
0.0506071	1	3	0	8.1449
0.0506429	1	2	0	31.7141
0.0506786	1	1	0	29.91
0.0514643	1	4	0	5.59132
0.0515714	1	4	0	18.4063
0.0516071	1	3	0	8.2338
0.0516429	1	2	0	31.4608
0.0516786	1	1	0	29.8321
0.0524643	1	4	0	17.5879
0.0525714	1	4	0	15.4266
0.0526071	1	3	0	7.95801
0.0526429	1	2	0	32.219
0.0526786	1	1	0	29.8105
0.0534286	1	1	0	26.533
0.0535714	1	4	0	17.5018
0.0536071	1	3	0	7.88525
0.0536429	1	2	0	33.1035
0.0536786	1	1	0	29.7798
0.0545714	1	4	0	14.978
0.0546071	1	3	0	7.83272
0.0546429	1	2	0	33.6022
0.0546786	1	1	0	29.7329
0.0555714	1	4	0	17.9049
0.0556071	1	3	0	8.06802
0.0556429	1	2	0	34.0613
0.0556786	1	1	0	29.6211
0.0565714	1	4	0	17.7611
0.0566071	1	3	0	7.96158
0.0566429	1	2	0	34.3897
0.0566786	1	1	0	29.5418
0.0574643	1	4	0	12.9116
0.0575714	1	4	0	18.7082
0.0576071	1	3	0	7.89675
0.0576429	1	2	0	34.1381
0.0576786	1	1	0	29.5097
0.0585714	1	4	0	12.9423
0.0586071	1	3	0	7.86462
0.0586429	1	2	0	33.7497
0.0586786	1	1	0	29.4869
0.0595714	1	4	0	14.2569
0.0596071	1	3	0	7.85935
0.0596429	1	2	0	33.4845
0.0596786	1	1	0	29.4598
0.0605714	1	4	0	17.388
0.0606071	1	3	0	7.84109
0.0606429	1	2	0	33.4729
0.0606786	1	1	0	29.5459
0.0614643	1	4	0	18.1004
0.0615714	1	4	0	17.532
0.0616071	1	3	0	7.99182
0.0616429	1	2	0	33.2646
0.0616786	1	1	0	29.5787
0.0624643	1	4	0	21.3804
0.0625714	1	4	0	14.8074
0.0626071	1	3	0	7.93834
0.0626429	1	2	0	33.4847
0.0626786	1	1	0	29.5865
0.0634643	1	4	0	2.76846
0.0635714	1	4	0	16.6448
0.0636071	1	3	0	8.12818
0.0636429	1	2	0	34.2954
