% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.0195	1	0	0	4	2	0	1	1	2	15	1	0	0	172
0.0195	1	0	0	3	2	0	1	3	2	15	1	0	0	172
0.0195	1	0	0	2	2	0	1	5	2	15	1	0	0	172
0.0195	1	0	0	1	2	0	1	7	2	15	1	0	0	172
0.0205	1	0	0	4	2	1	1	1	2	14	1	0	0	172
0.0205	1	0	0	3	2	1	1	3	2	14	1	0	0	172
0.0205	1	0	0	2	2	1	1	5	2	14	1	0	0	172
0.0205	1	0	0	1	2	1	1	7	2	14	1	0	0	172
0.0215	1	0	0	4	2	2	1	1	2	13	1	0	0	172
0.0215	1	0	0	3	2	2	1	3	2	13	1	0	0	172
0.0215	1	0	0	2	2	2	1	5	2	13	1	0	0	172
0.0215	1	0	0	1	2	2	1	7	2	13	1	0	0	172
0.0225	1	0	0	4	2	3	1	1	1	15	1	0	20	1203
0.0225	1	0	0	3	2	3	1	2	1	15	1	0	6	318
0.0225	1	0	0	2	2	3	1	3	1	15	1	0	26	1862
0.0225	1	0	0	1	2	3	1	4	1	15	1	0	26	1862
0.0235	1	0	0	4	2	4	1	1	1	14	1	0	13	699
0.0235	1	0	0	3	2	4	1	2	1	14	1	0	6	318
0.0235	1	0	0	2	2	4	1	3	1	14	1	0	26	1862
0.0235	1	0	0	1	2	4	1	4	1	14	1	0	26	1862
0.0245	1	0	0	4	2	5	1	1	1	13	1	0	18	1006
0.0245	1	0	0	3	2	5	1	2	1	13	1	0	6	318
0.0245	1	0	0	2	2	5	1	3	1	13	1	0	26	1862
0.0245	1	0	0	1	2	5	1	4	1	13	1	0	26	1862
0.0255	1	0	0	4	2	6	1	1	1	12	1	0	18	1006
0.0255	1	0	0	3	2	6	1	2	1	15	1	0	6	318
0.0255	1	0	0	2	2	6	1	3	1	15	1	0	26	1862
0.0255	1	0	0	1	2	6	1	4	1	15	1	0	26	1862
0.0265	1	0	0	4	2	7	1	1	1	14	1	0	18	1006
0.0265	1	0	0	3	2	7	1	2	1	14	1	0	6	318
0.0265	1	0	0	2	2	7	1	3	1	14	1	0	26	1862
0.0265	1	0	0	1	2	7	1	4	1	14	1	0	26	1862
0.0275	1	0	0	4	2	8	1	1	1	15	1	0	13	699
0.0275	1	0	0	3	2	8	1	2	1	13	1	0	6	318
0.0275	1	0	0	2	2	8	1	3	1	13	1	0	26	1862
0.0275	1	0	0	1	2	8	1	4	1	13	1	0	26	1862
0.0285	1	0	0	4	2	9	1	1	1	12	1	0	18	1006
0.0285	1	0	0	3	2	9	1	2	1	15	1	0	6	318
0.0285	1	0	0	2	2	9	1	3	1	15	1	0	26	1862
0.0285	1	0	0	1	2	9	1	4	1	15	1	0	26	1862
0.0295	1	0	0	4	3	0	1	1	1	13	1	0	13	699
0.0295	1	0	0	3	3	0	1	2	1	14	1	0	6	318
0.0295	1	0	0	2	3	0	1	3	1	14	1	0	26	1862
0.0295	1	0	0	1	3	0	1	4	1	14	1	0	26	1862
0.0305	1	0	0	4	3	1	1	1	1	15	1	0	18	1006
0.0305	1	0	0	3	3	1	1	2	1	13	1	0	6	318
0.0305	1	0	0	2	3	1	1	3	1	13	1	0	26	1862
0.0305	1	0	0	1	3	1	1	4	1	13	1	0	24	1642
0.0315	1	0	0	4	3	2	1	1	1	14	1	0	15	874
0.0315	1	0	0	3	3	2	1	2	1	15	1	0	6	318
0.0315	1	0	0	2	3	2	1	3	1	15	1	0	26	1862
0.0315	1	0	0	1	3	2	1	4	1	15	1	0	26	1862
0.0325	1	0	0	4	3	3	1	1	1	13	1	0	18	1006
0.0325	1	0	0	3	3	3	1	2	1	14	1	0	6	318
0.0325	1	0	0	2	3	3	1	3	1	14	1	0	26	1862
0.0325	1	0	0	1	3	3	1	4	1	14	1	0	26	1862
0.0335	1	0	0	4	3	4	1	1	1	12	1	0	13	699
0.0335	1	0	0	3	3	4	1	2	1	13	1	0	6	318
0.0335	1	0	0	2	3	4	1	3	1	13	1	0	26	1862
0.0335	1	0	0	1	3	4	1	4	1	13	1	0	26	1862
0.0345	1	0	0	4	3	5	1	1	1	11	1	0	13	699
0.0345	1	0	0	3	3	5	1	2	1	15	1	0	6	318
0.0345	1	0	0	2	3	5	1	3	1	15	1	0	26	1862
0.0345	1	0	0	1	3	5	1	4	1	15	1	0	26	1862
0.0355	1	0	0	4	3	6	1	1	1	15	1	0	13	699
0.0355	1	0	0	3	3	6	1	2	1	14	1	0	6	318
0.0355	1	0	0	2	3	6	1	3	1	14	1	0	26	1862
0.0355	1	0	0	1	3	6	1	4	1	14	1	0	26	1862
0.0365	1	0	0	4	3	7	1	1	1	14	1	0	18	1006
0.0365	1	0	0	3	3	7	1	2	1	13	1	0	6	318
0.0365	1	0	0	2	3	7	1	3	1	13	1	0	26	1862
0.0365	1	0	0	1	3	7	1	4	1	13	1	0	26	1862
0.0375	1	0	0	4	3	8	1	1	1	13	1	0	15	874
0.0375	1	0	0	3	3	8	1	2	1	15	1	0	6	318
0.0375	1	0	0	2	3	8	1	3	1	15	1	0	26	1862
0.0375	1	0	0	1	3	8	1	4	1	15	1	0	26	1862
0.0385	1	0	0	4	3	9	1	1	1	15	1	0	20	1203
0.0385	1	0	0	3	3	9	1	2	1	14	1	0	6	318
0.0385	1	0	0	2	3	9	1	3	1	14	1	0	26	1862
0.0385	1	0	0	1	3	9	1	4	1	14	1	0	26	1862
0.0395	1	0	0	4	4	0	1	1	1	12	1	0	13	699
0.0395	1	0	0	3	4	0	1	2	1	13	1	0	6	318
0.0395	1	0	0	2	4	0	1	3	1	13	1	0	26	1862
0.0395	1	0	0	1	4	0	1	4	1	13	1	0	26	1862
0.0405	1	0	0	4	4	1	1	1	1	13	1	0	13	699
0.0405	1	0	0	3	4	1	1	2	1	15	1	0	6	318
0.0405	1	0	0	2	4	1	1	3	1	15	1	0	26	1862
0.0405	1	0	0	1	4	1	1	4	1	15	1	0	26	1862
0.0415	1	0	0	4	4	2	1	1	1	14	1	0	13	699
0.0415	1	0	0	3	4	2	1	2	1	14	1	0	6	318
0.0415	1	0	0	2	4	2	1	3	1	14	1	0	26	1862
0.0415	1	0	0	1	4	2	1	4	1	14	1	0	26	1862
0.0425	1	0	0	4	4	3	1	1	1	12	1	0	20	1203
0.0425	1	0	0	3	4	3	1	2	1	13	1	0	6	318
0.0425	1	0	0	2	4	3	1	3	1	13	1	0	26	1862
0.0425	1	0	0	1	4	3	1	4	1	13	1	0	26	1862
0.0435	1	0	0	4	4	4	1	1	1	15	1	0	13	699
0.0435	1	0	0	3	4	4	1	2	1	15	1	0	6	318
0.0435	1	0	0	2	4	4	1	3	1	15	1	0	26	1862
0.0435	1	0	0	1	4	4	1	4	1	15	1	0	26	1862
0.0445	1	0	0	4	4	5	1	1	1	14	1	0	15	874
0.0445	1	0	0	3	4	5	1	2	1	14	1	0	6	318
0.0445	1	0	0	2	4	5	1	3	1	14	1	0	26	1862
0.0445	1	0	0	1	4	5	1	4	1	14	1	0	26	1862
0.0455	1	0	0	4	4	6	1	1	1	13	1	0	18	1006
0.0455	1	0	0	3	4	6	1	2	1	13	1	0	6	318
0.0455	1	0	0	2	4	6	1	3	1	13	1	0	26	1862
0.0455	1	0	0	1	4	6	1	4	1	13	1	0	26	1862
0.0465	1	0	0	4	4	7	1	1	1	15	1	0	15	874
0.0465	1	0	0	3	4	7	1	2	1	15	1	0	6	318
0.0465	1	0	0	2	4	7	1	3	1	15	1	0	26	1862
0.0465	1	0	0	1	4	7	1	4	1	15	1	0	26	1862
0.0475	1	0	0	4	4	8	1	1	1	14	1	0	18	1006
0.0475	1	0	0	3	4	8	1	2	1	14	1	0	6	318
0.0475	1	0	0	2	4	8	1	3	1	14	1	0	26	1862
0.0475	1	0	0	1	4	8	1	4	1	14	1	0	26	1862
0.0485	1	0	0	4	4	9	1	1	1	13	1	0	20	1203
0.0485	1	0	0	3	4	9	1	2	1	13	1	0	6	318
0.0485	1	0	0	2	4	9	1	3	1	13	1	0	26	1862
0.0485	1	0	0	1	4	9	1	4	1	13	1	0	26	1862
0.0495	1	0	0	4	5	0	1	1	1	15	1	0	18	1006
0.0495	1	0	0	3	5	0	1	2	1	15	1	0	6	318
0.0495	1	0	0	2	5	0	1	3	1	15	1	0	26	1862
0.0495	1	0	0	1	5	0	1	4	1	15	1	0	26	1862
0.0505	1	0	0	4	5	1	1	1	1	12	1	0	13	699
0.0505	1	0	0	3	5	1	1	2	1	14	1	0	6	318
0.0505	1	0	0	2	5	1	1	3	1	14	1	0	26	1862
0.0505	1	0	0	1	5	1	1	4	1	14	1	0	26	1862
0.0515	1	0	0	4	5	2	1	1	1	11	1	0	15	874
0.0515	1	0	0	3	5	2	1	2	1	13	1	0	6	318
0.0515	1	0	0	2	5	2	1	3	1	13	1	0	26	1862
0.0515	1	0	0	1	5	2	1	4	1	13	1	0	24	1642
0.0525	1	0	0	4	5	3	1	1	1	15	1	0	18	1006
0.0525	1	0	0	3	5	3	1	2	1	15	1	0	6	318
0.0525	1	0	0	2	5	3	1	3	1	15	1	0	26	1862
0.0525	1	0	0	1	5	3	1	4	1	12	1	0	24	1642
0.0535	1	0	0	4	5	4	1	1	1	14	1	0	20	1203
0.0535	1	0	0	3	5	4	1	2	1	14	1	0	6	318
0.0535	1	0	0	2	5	4	1	3	1	14	1	0	26	1862
0.0535	1	0	0	1	5	4	1	4	1	14	1	0	26	1862
0.0545	1	0	0	4	5	5	1	1	1	13	1	0	18	1006
0.0545	1	0	0	3	5	5	1	2	1	13	1	0	6	318
0.0545	1	0	0	2	5	5	1	3	1	13	1	0	26	1862
0.0545	1	0	0	1	5	5	1	4	1	15	1	0	26	1862
0.0555	1	0	0	4	5	6	1	1	1	15	1	0	18	1006
0.0555	1	0	0	3	5	6	1	2	1	15	1	0	6	318
0.0555	1	0	0	2	5	6	1	3	1	15	1	0	26	1862
0.0555	1	0	0	1	5	6	1	4	1	13	1	0	26	1862
0.0565	1	0	0	4	5	7	1	1	1	12	1	0	11	538
0.0565	1	0	0	3	5	7	1	2	1	14	1	0	6	318
0.0565	1	0	0	2	5	7	1	3	1	14	1	0	26	1862
0.0565	1	0	0	1	5	7	1	4	1	14	1	0	26	1862
0.0575	1	0	0	4	5	8	1	1	1	13	1	0	18	1006
0.0575	1	0	0	3	5	8	1	2	1	13	1	0	6	318
0.0575	1	0	0	2	5	8	1	3	1	13	1	0	26	1862
0.0575	1	0	0	1	5	8	1	4	1	15	1	0	26	1862
0.0585	1	0	0	4	5	9	1	1	1	15	1	0	22	1423
0.0585	1	0	0	3	5	9	1	2	1	15	1	0	6	318
0.0585	1	0	0	2	5	9	1	3	1	15	1	0	26	1862
0.0585	1	0	0	1	5	9	1	4	1	13	1	0	26	1862
0.0595	1	0	0	4	6	0	1	1	1	14	1	0	20	1203
0.0595	1	0	0	3	6	0	1	2	1	14	1	0	6	318
0.0595	1	0	0	2	6	0	1	3	1	14	1	0	26	1862
0.0595	1	0	0	1	6	0	1	4	1	14	1	0	26	1862
0.0605	1	0	0	4	6	1	1	1	1	12	1	0	13	699
0.0605	1	0	0	3	6	1	1	2	1	13	1	0	6	318
0.0605	1	0	0	2	6	1	1	3	1	13	1	0	26	1862
0.0605	1	0	0	1	6	1	1	4	1	15	1	0	26	1862
0.0615	1	0	0	4	6	2	1	1	1	11	1	0	18	1006
0.0615	1	0	0	3	6	2	1	2	1	15	1	0	6	318
0.0615	1	0	0	2	6	2	1	3	1	15	1	0	26	1862
0.0615	1	0	0	1	6	2	1	4	1	13	1	0	26	1862
0.0625	1	0	0	4	6	3	1	1	1	13	1	0	13	699
0.0625	1	0	0	3	6	3	1	2	1	14	1	0	6	318
0.0625	1	0	0	2	6	3	1	3	1	14	1	0	26	1862
0.0625	1	0	0	1	6	3	1	4	1	14	1	0	26	1862
0.0635	1	0	0	4	6	4	1	1	1	15	1	0	20	1203
0.0635	1	0	0	3	6	4	1	2	1	13	1	0	6	318
0.0635	1	0	0	2	6	4	1	3	1	13	1	0	26	1862
0.0635	1	0	0	1	6	4	1	4	1	15	1	0	26	1862
0.0645	1	0	0	4	6	5	1	1	1	14	1	0	13	699
0.0645	1	0	0	3	6	5	1	2	1	15	1	0	6	318
0.0645	1	0	0	2	6	5	1	3	1	15	1	0	26	1862
0.0645	1	0	0	1	6	5	1	4	1	13	1	0	26	1862
0.0655	1	0	0	4	6	6	1	1	1	13	1	0	20	1203
0.0655	1	0	0	3	6	6	1	2	1	14	1	0	6	318
0.0655	1	0	0	2	6	6	1	3	1	14	1	0	26	1862
0.0655	1	0	0	1	6	6	1	4	1	14	1	0	26	1862
0.0665	1	0	0	4	6	7	1	1	1	12	1	0	13	699
0.0665	1	0	0	3	6	7	1	2	1	13	1	0	6	318
0.0665	1	0	0	2	6	7	1	3	1	13	1	0	26	1862
0.0665	1	0	0	1	6	7	1	4	1	15	1	0	26	1862
0.0675	1	0	0	4	6	8	1	1	1	14	1	0	18	1006
0.0675	1	0	0	3	6	8	1	2	1	15	1	0	6	318
0.0675	1	0	0	2	6	8	1	3	1	15	1	0	26	1862
0.0675	1	0	0	1	6	8	1	4	1	13	1	0	26	1862
0.0685	1	0	0	4	6	9	1	1	1	15	1	0	18	1006
0.0685	1	0	0	3	6	9	1	2	1	14	1	0	6	318
0.0685	1	0	0	2	6	9	1	3	1	14	1	0	26	1862
0.0685	1	0	0	1	6	9	1	4	1	14	1	0	26	1862
0.0695	1	0	0	4	7	0	1	1	1	12	1	0	18	1006
0.0695	1	0	0	3	7	0	1	2	1	13	1	0	6	318
0.0695	1	0	0	2	7	0	1	3	1	13	1	0	26	1862
0.0695	1	0	0	1	7	0	1	4	1	15	1	0	26	1862
