Time	CellId	RNTI	BWPId	SINR(dB)
0.0226071	1	9	0	-0.35476
0.0226786	1	7	0	0.552754
0.0254643	1	9	0	1.01788
0.0406071	1	4	0	13.7574
0.0426429	1	5	0	-2.15766
0.0436429	1	1	0	35.133
0.0446429	1	3	0	8.35519
0.0454643	1	5	0	-3.20251
0.0476071	1	2	0	32.3896
0.0746071	1	8	0	2.15657
0.0785714	1	9	0	-0.399424
0.0814286	1	9	0	1.49097
0.0836071	1	6	0	-2.96083
0.0863929	1	6	0	-3.08814
0.0866429	1	10	0	-12.7551
0.0875714	1	4	0	13.0645
0.0894643	1	10	0	-11.5411
0.0896429	1	7	0	4.01835
0.0919286	1	10	0	-11.5701
0.0944286	1	10	0	-11.4412
0.102607	1	5	0	0.483476
0.102643	1	1	0	35.2893
0.103571	1	3	0	7.88983
0.105464	1	1	0	30.4465
0.105464	1	5	0	-15.3517
0.108571	1	2	0	32.681
0.129607	1	8	0	1.83554
0.136571	1	7	0	3.00524
0.137571	1	9	0	1.17596
0.139964	1	7	0	3.0243
0.140464	1	9	0	2.37266
0.140643	1	10	0	-13.0633
0.140679	1	6	0	-3.89176
0.141571	1	4	0	9.58688
0.143429	1	6	0	-9.20791
0.143429	1	10	0	-14.7545
0.144429	1	4	0	6.35059
0.145964	1	6	0	-9.67136
0.145964	1	10	0	-14.8095
0.148464	1	10	0	-12.4726
0.157571	1	3	0	7.72332
0.169571	1	1	0	34.616
0.177643	1	5	0	-0.236807
0.180464	1	5	0	-2.06399
0.182607	1	8	0	1.07083
0.186571	1	9	0	-1.20743
0.189429	1	9	0	2.79679
0.189571	1	2	0	32.6223
0.191571	1	4	0	10.0899
0.194429	1	4	0	10.5733
0.194643	1	10	0	-11.9666
0.194679	1	7	0	3.07601
0.197429	1	7	0	-4.31883
0.197429	1	10	0	-13.8616
0.198607	1	6	0	-2.3051
0.199964	1	7	0	-2.11611
0.199964	1	10	0	-13.867
0.201393	1	6	0	-3.17676
0.202464	1	7	0	2.36598
0.202464	1	10	0	-14.2433
0.229571	1	3	0	8.51566
0.235571	1	5	0	-1.42144
0.235607	1	1	0	35.3085
0.238464	1	5	0	-3.72205
0.239607	1	8	0	0.768651
0.242571	1	9	0	-4.3287
0.245429	1	9	0	-0.20397
0.247929	1	9	0	-2.29186
0.248571	1	2	0	33.1178
0.249571	1	7	0	2.65114
0.252393	1	7	0	8.30609
0.252571	1	6	0	-2.29418
0.255429	1	6	0	-2.76674
0.257607	1	10	0	-13.3469
0.259571	1	4	0	12.1635
0.260464	1	10	0	-11.8389
0.262429	1	4	0	8.21585
0.262964	1	10	0	-11.8624
0.293571	1	3	0	9.89977
0.299571	1	1	0	35.3327
0.300607	1	8	0	-1.35511
0.301571	1	2	0	32.9332
0.303429	1	8	0	-1.64308
0.303571	1	9	0	-3.99215
0.306464	1	9	0	-1.44528
0.308571	1	7	0	3.5097
0.309571	1	5	0	-0.564601
0.310571	1	6	0	-1.50414
0.311464	1	7	0	0.32259
0.312464	1	5	0	-1.34549
0.313393	1	6	0	-2.33724
0.313964	1	7	0	5.0073
0.316607	1	10	0	-15.2117
0.319429	1	10	0	-14.1822
0.321929	1	10	0	-14.8416
0.324429	1	10	0	-13.7839
0.328571	1	4	0	10.2406
0.331464	1	4	0	6.38644
0.351571	1	3	0	9.58865
0.354571	1	9	0	-4.00908
0.354607	1	8	0	0.0180701
0.354643	1	2	0	33.2251
0.357429	1	8	0	-2.67881
0.357429	1	9	0	-9.91863
0.359964	1	9	0	0.18072
0.360071	1	5	0	0.626901
0.362964	1	5	0	-0.420727
0.363571	1	7	0	5.83448
0.366429	1	7	0	8.0811
0.366571	1	6	0	-1.38466
0.368571	1	1	0	35.7706
0.369393	1	6	0	-2.3437
0.371607	1	10	0	-13.6537
0.374464	1	10	0	-11.3958
0.376964	1	10	0	-11.4951
0.386571	1	4	0	8.657
0.389464	1	4	0	8.44955
0.401571	1	9	0	-5.14783
0.404464	1	9	0	-4.08643
0.404571	1	3	0	9.20433
0.406964	1	9	0	-1.00345
0.408571	1	5	0	1.26673
0.410571	1	8	0	-1.44962
0.411393	1	5	0	0.478724
0.413429	1	8	0	-3.08195
0.419571	1	1	0	35.7901
0.422607	1	10	0	-14.5844
0.425429	1	10	0	-12.5596
0.427964	1	10	0	-13.2779
0.428571	1	6	0	-6.95841
0.430464	1	10	0	-13.5045
0.430571	1	2	0	34.7319
0.431464	1	6	0	-8.00313
0.433964	1	6	0	-7.03702
0.434571	1	7	0	4.39427
0.437429	1	7	0	5.40739
0.439964	1	7	0	5.16559
0.446571	1	4	0	10.2045
0.449429	1	4	0	10.5988
0.452571	1	9	0	-5.27066
0.455429	1	9	0	-2.82788
0.457929	1	9	0	-2.5954
0.463571	1	5	0	0.161064
0.464571	1	8	0	-1.38951
0.465571	1	3	0	7.83533
0.466464	1	5	0	-1.87159
0.467393	1	8	0	-0.787733
0.475607	1	10	0	-17.4247
0.476571	1	1	0	35.375
0.478429	1	10	0	-16.0744
0.480929	1	10	0	-15.8472
0.483464	1	10	0	-15.772
0.492607	1	6	0	-5.80151
0.495429	1	6	0	-6.98827
0.496571	1	7	0	3.86984
0.499929	1	7	0	6.14559
0.503571	1	9	0	-4.42388
0.506464	1	9	0	0.358733
0.508571	1	4	0	9.64131
0.509571	1	2	0	34.3525
0.511464	1	4	0	-1.19735
0.513929	1	4	0	8.54592
0.516464	1	4	0	0.791143
0.519571	1	3	0	7.89439
0.528571	1	5	0	-0.659327
0.529571	1	8	0	0.29954
0.531429	1	5	0	-0.881471
0.531607	1	10	0	-14.6864
0.532429	1	8	0	-1.42183
0.534464	1	10	0	-13.207
0.536929	1	10	0	-13.6351
0.539429	1	10	0	-13.5662
0.548643	1	6	0	-5.58888
0.548679	1	1	0	35.6116
0.551464	1	6	0	-6.66429
0.552571	1	7	0	4.42626
0.555464	1	7	0	7.51164
0.569571	1	9	0	-4.75534
0.572429	1	9	0	-0.988657
0.573571	1	2	0	33.0912
0.576571	1	3	0	9.64294
0.579571	1	4	0	9.13968
0.582464	1	4	0	7.15116
0.585571	1	5	0	-0.553328
0.587571	1	8	0	3.06704
0.588429	1	5	0	-2.03033
0.590464	1	8	0	3.26722
0.606607	1	6	0	-7.82143
0.607571	1	7	0	2.35572
0.609464	1	6	0	-8.65707
0.609571	1	1	0	36.0184
0.610464	1	7	0	3.43571
0.612964	1	7	0	8.74216
0.621607	1	10	0	-16.5672
0.624464	1	10	0	-15.2134
0.626964	1	10	0	-15.6264
0.628571	1	2	0	34.2905
0.629464	1	10	0	-15.2805
0.631571	1	9	0	-5.82134
0.633571	1	4	0	10.9876
0.634464	1	9	0	-2.21347
0.634571	1	3	0	7.10568
0.636464	1	4	0	13.9351
0.637429	1	3	0	7.80089
0.644571	1	5	0	-0.929986
0.647464	1	5	0	-1.87938
0.659571	1	8	0	4.96391
0.659607	1	1	0	35.9706
0.662464	1	8	0	4.33055
0.669571	1	7	0	5.58075
0.669714	1	6	0	-7.21582
0.672464	1	7	0	-7.15291
0.672464	1	6	0	-10.1861
0.674964	1	6	0	-8.94733
0.674964	1	7	0	-2.38475
0.677429	1	7	0	2.26164
0.682571	1	2	0	35.244
0.685571	1	9	0	-5.58349
0.685607	1	4	0	7.69444
0.688464	1	4	0	9.68944
0.688464	1	9	0	-15.1042
0.688571	1	3	0	8.00626
0.690964	1	4	0	5.87994
0.690964	1	9	0	-15.5735
0.691464	1	3	0	10.8528
0.691643	1	10	0	-16.5055
0.693429	1	4	0	10.1463
0.693429	1	9	0	-12.7016
0.694464	1	10	0	-14.8311
0.696964	1	10	0	-14.8912
0.699464	1	10	0	-14.411
0.701571	1	5	0	-0.986143
0.704464	1	5	0	-1.83702
0.713571	1	8	0	1.74125
0.716429	1	8	0	0.236222
0.718964	1	8	0	2.23662
0.730571	1	7	0	1.37003
0.733429	1	7	0	3.54126
0.733571	1	1	0	36.4649
0.735571	1	2	0	35.0748
0.740643	1	6	0	-6.66575
0.742571	1	4	0	9.41656
0.743429	1	6	0	-7.58619
0.745464	1	4	0	14.8483
0.746607	1	9	0	-4.79912
0.748571	1	3	0	7.97636
0.749464	1	9	0	-3.5892
0.751464	1	3	0	8.32968
0.753964	1	3	0	11.1878
0.757571	1	5	0	1.14349
0.760464	1	5	0	0.416896
0.761679	1	10	0	-14.733
0.764464	1	10	0	-13.7081
0.766964	1	10	0	-14.0275
0.769464	1	10	0	-13.7581
0.784571	1	8	0	0.0978236
0.784607	1	2	0	33.4856
0.786571	1	7	0	-2.31037
0.787429	1	8	0	-1.49763
0.789464	1	7	0	0.438136
0.789964	1	8	0	0.359225
0.790107	1	6	0	-6.26504
0.791964	1	7	0	4.69265
0.792964	1	6	0	-7.12395
0.797571	1	4	0	13.7949
0.797607	1	1	0	37.1846
0.800464	1	4	0	15.8239
0.806571	1	9	0	-7.15099
0.809464	1	9	0	-4.2236
0.809571	1	5	0	1.46835
0.812429	1	5	0	1.31236
0.812607	1	10	0	-13.3764
0.815429	1	10	0	-12.4717
