% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.0215	1	0	9	9	2	2	1	1	2	15	1	0	0	172
0.0215	1	0	7	7	2	2	1	3	2	15	1	0	0	172
0.0395	1	0	4	4	4	0	1	1	2	15	1	0	0	172
0.0415	1	0	5	5	4	2	1	1	3	15	1	0	0	260
0.0425	1	0	1	1	4	3	1	1	3	15	1	0	0	260
0.0435	1	0	3	3	4	4	1	1	3	15	1	0	0	260
0.0465	1	0	2	2	4	7	1	1	2	15	1	0	0	172
0.0735	1	0	8	8	7	4	1	1	2	15	1	0	0	172
0.0775	1	0	9	9	7	8	1	1	1	15	1	0	8	428
0.0825	1	0	6	6	8	3	1	1	2	15	1	0	0	172
0.0855	1	0	10	10	8	6	1	1	3	15	1	0	0	260
0.0865	1	0	4	4	8	7	1	1	1	15	1	0	15	874
0.0885	1	0	7	7	8	9	1	1	3	15	1	0	0	260
0.1015	1	0	5	5	10	2	1	1	2	15	1	0	2	274
0.1015	1	0	1	1	10	2	1	3	1	15	1	0	28	2037
0.1025	1	0	3	3	10	3	1	1	1	15	1	0	6	318
0.1075	1	0	2	2	10	8	1	1	1	15	1	0	26	1862
0.1285	1	0	8	8	12	9	1	1	2	15	1	0	2	274
0.1355	1	0	7	7	13	6	1	1	1	15	1	0	4	216
0.1365	1	0	9	9	13	7	1	1	1	15	1	0	13	699
0.1395	1	0	10	10	14	0	1	1	3	15	1	0	0	260
0.1395	1	0	6	6	14	0	1	4	1	15	1	0	4	216
0.1405	1	0	4	4	14	1	1	1	1	15	1	0	13	699
0.1565	1	0	3	3	15	7	1	1	1	15	1	0	6	318
0.1685	1	0	1	1	16	9	1	1	1	15	1	0	28	2037
0.1765	1	0	5	5	17	7	1	1	3	15	1	0	0	260
0.1815	1	0	8	8	18	2	1	1	2	15	1	0	2	274
0.1855	1	0	9	9	18	6	1	1	1	15	1	0	13	699
0.1885	1	0	2	2	18	9	1	1	1	15	1	0	26	1862
0.1905	1	0	4	4	19	1	1	1	1	15	1	0	20	1203
0.1935	1	0	10	10	19	4	1	1	3	15	1	0	0	260
0.1935	1	0	7	7	19	4	1	4	1	15	1	0	18	1006
0.1975	1	0	6	6	19	8	1	1	2	15	1	0	0	172
0.2285	1	0	3	3	22	9	1	1	1	15	1	0	6	318
0.2345	1	0	5	5	23	5	1	1	1	15	1	0	4	216
0.2345	1	0	1	1	23	5	1	2	1	15	1	0	26	1862
0.2385	1	0	8	8	23	9	1	1	2	15	1	0	2	274
0.2415	1	0	9	9	24	2	1	1	1	15	1	0	15	874
0.2475	1	0	2	2	24	8	1	1	1	15	1	0	26	1862
0.2485	1	0	7	7	24	9	1	1	1	15	1	0	15	874
0.2515	1	0	6	6	25	2	1	1	1	15	1	0	4	216
0.2565	1	0	10	10	25	7	1	1	2	15	1	0	0	172
0.2585	1	0	4	4	25	9	1	1	1	15	1	0	22	1423
0.2925	1	0	3	3	29	3	1	1	1	15	1	0	6	318
0.2985	1	0	1	1	29	9	1	1	1	15	1	0	26	1862
0.2995	1	0	8	8	30	0	1	1	2	15	1	0	2	274
0.3005	1	0	2	2	30	1	1	1	1	15	1	0	26	1862
0.3025	1	0	9	9	30	3	1	1	1	15	1	0	8	428
0.3075	1	0	7	7	30	8	1	1	1	15	1	0	20	1203
0.3085	1	0	5	5	30	9	1	1	1	15	1	0	6	318
0.3095	1	0	6	6	31	0	1	1	1	15	1	0	8	428
0.3155	1	0	10	10	31	6	1	1	2	15	1	0	0	172
0.3275	1	0	4	4	32	8	1	1	1	15	1	0	22	1423
0.3505	1	0	3	3	35	1	1	1	1	15	1	0	6	318
0.3535	1	0	9	9	35	4	1	1	1	15	1	0	11	538
0.3535	1	0	8	8	35	4	1	2	1	15	1	0	6	318
0.3535	1	0	2	2	35	4	1	3	1	15	1	0	26	1862
0.359	1	0	5	5	36	0	0	1	1	15	1	0	11	538
0.3625	1	0	7	7	36	3	1	1	1	15	1	0	18	1006
0.3655	1	0	6	6	36	6	1	1	1	15	1	0	11	538
0.3675	1	0	1	1	36	8	1	1	1	15	1	0	26	1862
0.3705	1	0	10	10	37	1	1	1	2	15	1	0	0	172
0.3855	1	0	4	4	38	6	1	1	1	15	1	0	22	1423
0.4005	1	0	9	9	40	1	1	1	1	15	1	0	13	699
